key,manual_tier,name,pos,team,total,ppg,Bye,Age,PaYds,PaTD,INT,RuAtt,RuYds,RuTD,Tgt,Rec,ReYds,ReTD,Tgt%,RZTgt,FGM,FGA,XPM,DefPA,DefSk,DefINT,DefTD,TmYds,TmYdsRk,TmPlays,TmPlaysRk,TmRush,TmRushRk,TmPass,TmPassRk,price
p00-0037664,7,Alec Pierce,WR,IND,159.8,10.65,13,26,,,,,,,84,47,1003,6,17.6,9,,,,,,,,6092,9,1018,20,2007,17,4085,8,
p00-0038559,7,Michael Wilson,WR,ARI,181.6,10.68,14,26,,,,,,,126,78,1006,7,19.2,17,,,,,,,,5937,14,1074,12,1583,31,4354,5,
p00-0036259,7,Jauan Jennings,WR,MIN,143.8,9.59,6,29,,,,,,,90,55,643,9,19.9,22,,,,,,,,5049,28,954,30,1841,23,3208,30,
p00-0037740,7,Garrett Wilson,WR,NYJ,81.5,11.64,13,26,,,,,,,59,36,395,4,35.4,5,,,,,,,,4880,29,1010,24,2096,10,2784,32,
p00-0038544,7,Quentin Johnston,WR,LAC,145.7,11.21,7,25,,,,,,,84,51,735,8,20.0,15,,,,,,,,6020,10,1095,3,2067,12,3953,15,
p00-0036407,7,Jerry Jeudy,WR,CLE,95.7,5.63,11,27,,,,,,,106,50,602,2,20.5,9,,,,,,,,4801,31,1030,19,1649,27,3152,31,
p00-0039849,7,Marvin Harrison Jr.,WR,ARI,105.3,8.78,14,24,,,,,,,73,41,608,4,18.1,11,,,,,,,,5937,14,1074,12,1583,31,4354,5,
p00-0037261,7,Khalil Shakir,WR,BUF,130.4,8.15,7,26,,,,,,,95,72,719,4,21.1,15,,,,,,,,6695,3,1082,9,2714,1,3981,13,
p00-0037816,7,Romeo Doubs,WR,NE,135.9,8.49,11,26,,,,,,,85,55,724,6,18.9,18,,,,,,,,6650,4,1044,18,2191,6,4459,4,
p00-0038997,8,Josh Downs,WR,IND,109.4,6.84,13,25,,,,,,,88,58,566,4,17.5,15,,,,,,,,6092,9,1018,20,2007,17,4085,8,
p00-0038977,8,Tank Dell,WR,HOU,0.0,0.0,8,26,,,,,,,,,,,,,,,,,,,,5808,19,1088,6,1852,22,3956,14,
p00-0039919,8,Rome Odunze,WR,CHI,124.1,10.34,10,24,,,,,,,90,44,661,6,23.6,13,,,,,,,,6442,6,1103,2,2451,3,3991,12,
p00-0039894,8,Xavier Worthy,WR,KC,88.9,6.35,5,23,,,,,,,73,42,532,1,16.1,6,,,,,,,,5759,20,1061,15,1812,25,3947,16,
p00-0039337,8,Malik Nabers,WR,NYG,48.1,12.03,8,23,,,,,,,35,18,271,2,27.1,4,,,,,,,,5898,15,1085,8,2195,5,3703,21,
p00-0033908,8,Cooper Kupp,WR,SEA,91.8,5.74,11,33,,,,,,,70,47,593,2,16.0,13,,,,,,,,6159,7,1015,21,2096,11,4063,9,
p00-0038563,8,Tre Tucker,WR,LV,133.2,7.84,13,25,,,,,,,92,57,696,5,19.0,10,,,,,,,,4632,32,948,32,1317,32,3315,26,
p00-0040130,9,Jayden Higgins,WR,HOU,109.0,6.41,8,23,,,,,,,68,41,525,6,12.4,9,,,,,,,,5808,19,1088,6,1852,22,3956,14,
p00-0039067,9,Rashee Rice,WR,KC,121.6,15.2,5,26,,,,,,,78,53,571,5,29.0,19,,,,,,,,5759,20,1061,15,1812,25,3947,16,
